local qrtr node = 1
SVC  NAME         INST(v)    NODE   PORT  
43   ?            0x00001202 0      1     
769  ?            0x00000001 5      3     
280  ?            0x00000a02 5      35    
269  ?            0x00003202 5      9     
263  ?            0x00000001 5      38    
43   ?            0x00001402 5      2     
771  ?            0x00000101 5      5     
256  SENSOR/SMGR  0x00003201 5      8     
277  ?            0x00003201 5      40    
15   ?            0x00000801 5      1     
15   ?            0x00000901 5      4     
300  ?            0x00003201 5      10    
264  ?            0x00000001 5      39    
4097 ?            0x00000000 1      16452 
4097 ?            0x00000144 1      16439 
53   ?            0x00001001 1      16630 
4097 ?            0x00000180 1      16455 
4097 ?            0x00000182 1      16442 
4097 ?            0x00000002 1      16429 
4097 ?            0x00000042 1      16432 
4097 ?            0x000000c2 1      16435 
280  ?            0x00003202 1      16422 
4097 ?            0x00000100 1      16451 
4097 ?            0x00000142 1      16438 
4097 ?            0x000000c0 1      16454 
4097 ?            0x00000104 1      16441 
52   ?            0x00000101 1      16428 
4097 ?            0x00000040 1      16431 
4097 ?            0x00000082 1      16434 
271  ?            0x00000002 1      16421 
4097 ?            0x00000080 1      16450 
4097 ?            0x000000c4 1      16437 
4097 ?            0x00000140 1      16453 
4097 ?            0x00000102 1      16440 
4097 ?            0x00000184 1      16443 
4097 ?            0x00000004 1      16430 
4097 ?            0x00000044 1      16433 
14   RMTFS        0x00000001 1      16420 
4097 ?            0x00000084 1      16436 
15   ?            0x00000001 7      3     
51   ?            0x00000301 7      2     
256  SENSOR/SMGR  0x00000100 7      1     
42 services registered
